id,instance,notes,type,status,inputs (#post),outputs (#pre),NO #post,NO #pre,LAL(L) #post,LAL(L) #pre,#voxels
519046655,FB1H(NO2/3)_L,CRENO23FB1-4,FB1H,Traced,7950,3818,809,341,76,21,3103732460
669965108,CRE076_R,,CRE076,Traced,2873,1348,1,,22,11,2190715571
1100796921,FB4M(PPM3-FB3/4-NO-DAN)_L,CRENO2FB4_2,FB4M,Traced,2493,2346,272,144,1,2,1593973477
1100801075,FB4M(PPM3-FB3/4-NO-DAN)_L,CRENO2FB4_2,FB4M,Traced,2596,2354,310,157,1,1,1579340978
1131836229,FB4C(NO2)_L,CRENO2FB4_1,FB4C,Traced,4730,917,1019,171,27,5,1390563331
1224945418,FB2A(PPM3-FB2-NO-DAN)_L,NOaLALFB2,FB2A,Traced,1475,1010,155,48,1,1,638450431
1321305063,PVLP144_R,,PVLP144,Traced,165,18,1,,1,4,439701881
1348057533,FB1C(NO1/NO3)_L,LALNOmFB1,FB1C,Traced,1549,1116,468,189,,2,804505807
1352077058,DSKMP1B_R,,DSKMP1B,Traced,2983,560,13,7,5,9,5492683352
1379087619,FB1C(NO1/NO3)_L,LALNOmFB1,FB1C,Traced,1636,1169,439,172,,1,873045387
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,1,,,1,6190229391
1568711739,LCNOp(LAL-NO3p)_L,LCNp,LCNOp,Traced,2262,384,781,373,1222,11,968794750
1629383757,Ascending?,,,Traced,5797,1631,106,,29,25,3262430111
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,144,95,14,8,3486100136
5813082722,CRE021(ADM06)_L,aSP14e candidates,CRE021,Traced,2268,635,1,,115,25,1084830460
