id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(L) #post,aL(L) #pre,a'L(L) #post,a'L(L) #pre,#voxels
239736436,,,,Traced,84,27,83,26,1,1,19028092
270089341,,,,Traced,101,52,96,48,5,4,28348240
270430491,,,,Traced,61,31,61,30,,1,15807075
270434559,,,,Traced,105,39,100,38,5,1,24016310
270438894,,,,Traced,126,47,120,44,6,3,30549960
270443227,,,,Traced,106,36,100,33,,1,25899471
270779779,,,,Traced,93,41,90,40,3,1,23061441
270779781,,,,Traced,100,48,92,46,6,2,23682372
270779942,,,,Traced,122,40,120,39,2,1,28768375
270780214,,,,Traced,111,43,111,42,,1,23826153
271457393,,,,Traced,109,44,108,42,1,2,28447754
301123893,,,,Traced,129,46,122,44,5,1,32165042
301124062,,,,Traced,109,47,101,44,8,3,29358986
301128261,,,,Traced,143,58,142,57,1,1,33298389
301128366,,,,Traced,152,56,147,54,,1,36041113
301460548,,,,Traced,114,47,107,42,2,2,26826251
301460855,,,,Traced,133,52,127,50,6,2,35654156
301465428,,,,Traced,89,27,86,25,3,2,17920943
301469666,,,,Traced,136,42,136,40,,2,28259033
301478005,,,,Traced,79,36,72,33,7,3,22357419
301801949,,,,Traced,126,55,126,54,,1,31685217
301819035,,,,Traced,118,55,117,54,1,1,30512025
301819141,,,,Traced,85,34,81,32,2,1,20211367
302155901,,,,Traced,68,33,62,31,4,1,21717327
302160103,,,,Traced,116,55,107,53,,1,27928281
302483885,,,,Traced,117,45,115,44,2,1,26141619
331662710,PPL106(a3)_R,,PPL106,Traced,9962,1814,2375,468,,2,2855596370
331827708,,,,Traced,83,38,71,33,7,4,27312126
332154668,,,,Traced,68,30,65,29,3,1,26512199
332158996,,,,Traced,67,26,62,25,3,1,13538997
332163494,,,,Traced,112,47,108,46,4,1,26748916
332163675,,,,Traced,50,18,40,16,10,2,15771248
332167978,,,,Traced,74,25,68,23,6,2,16630810
332168042,,,,Traced,51,21,44,18,6,2,15751241
332495466,,,,Traced,92,42,90,40,1,2,23508391
332500250,,,,Traced,94,32,46,17,43,12,29813356
