id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(L) #post,aL(L) #pre,gL(L) #post,gL(L) #pre,#voxels
393201704,,,,Traced,132,327,3,,6,1,378874238
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,27,8,19,35,5265462913
425276848,DPM_L,,DPM,Traced,30007,7088,1,,16559,4033,6483095365
489051866,,,,Traced,71,40,6,2,9,7,32974410
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,131,51,64,104,1964048244
581465861,,,,Traced,331,401,1,,,2,483750868
706287739,,,,Traced,45,35,1,2,1,1,32124162
706633128,,,,Traced,52,36,6,5,2,1,27955134
826663057,,,,Traced,375,596,1,,1,2,495908932
1015622418,,,,Traced,809,407,3,2,761,369,235779801
1173866149,,,,Traced,400,200,5,3,20,17,142748783
5813061512,MBON06(B1>a)_R,,MBON06,Traced,12107,496,289,106,142,10,2038784377
