id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(L) #post,a'L(L) #pre,aL(L) #post,aL(L) #pre,#voxels
239399526,,,,Traced,282,33,3,,278,33,48837076
239399712,,,,Traced,51,30,2,,49,30,18611082
239736436,,,,Traced,84,27,1,1,83,26,19028092
239736480,,,,Traced,222,24,8,,214,24,30900436
239740694,,,,Traced,2080,395,2,,2076,394,260529914
239744950,,,,Traced,144,46,2,,142,46,28650838
270089341,,,,Traced,101,52,5,4,96,48,28348240
270093398,,,,Traced,100,41,1,,99,41,24064768
270093552,,,,Traced,129,45,6,,123,45,26059791
270430448,,,,Traced,78,32,1,,77,32,24355981
270434559,,,,Traced,105,39,5,1,100,38,24016310
270438894,,,,Traced,126,47,6,3,120,44,30549960
270775739,,,,Traced,395,42,2,,390,42,53870256
270779769,,,,Traced,142,45,2,,140,45,25812400
270779779,,,,Traced,93,41,3,1,90,40,23061441
270779781,,,,Traced,100,48,6,2,92,46,23682372
270779942,,,,Traced,122,40,2,1,120,39,28768375
271457393,,,,Traced,109,44,1,2,108,42,28447754
301123883,,,,Traced,71,29,3,,68,29,16829829
301123893,,,,Traced,129,46,5,1,122,44,32165042
301124062,,,,Traced,109,47,8,3,101,44,29358986
301124096,,,,Traced,73,40,2,,71,40,24547361
301128261,,,,Traced,143,58,1,1,142,57,33298389
301460548,,,,Traced,114,47,2,2,107,42,26826251
301460855,,,,Traced,133,52,6,2,127,50,35654156
301460925,,,,Traced,94,38,1,,93,38,20144908
301465428,,,,Traced,89,27,3,2,86,25,17920943
301469553,,,,Traced,112,38,2,,110,38,25348774
301473922,,,,Traced,88,33,1,,87,33,20147955
301473948,,,,Traced,134,16,3,,131,16,27709506
301478005,,,,Traced,79,36,7,3,72,33,22357419
301478167,,,,Traced,135,16,11,,106,15,20777597
301819035,,,,Traced,118,55,1,1,117,54,30512025
301819141,,,,Traced,85,34,2,1,81,32,20211367
302155901,,,,Traced,68,33,4,1,62,31,21717327
302160144,,,,Traced,107,45,3,,104,45,29186368
302483885,,,,Traced,117,45,2,1,115,44,26141619
302492618,,,,Traced,87,36,1,,86,36,18880574
331827708,,,,Traced,83,38,7,4,71,33,27312126
332154668,,,,Traced,68,30,3,1,65,29,26512199
332154712,,,,Traced,109,52,1,,108,52,24832843
332158996,,,,Traced,67,26,3,1,62,25,13538997
332163494,,,,Traced,112,47,4,1,108,46,26748916
332163675,,,,Traced,50,18,10,2,40,16,15771248
332167978,,,,Traced,74,25,6,2,68,23,16630810
332168042,,,,Traced,51,21,6,2,44,18,15751241
332495466,,,,Traced,92,42,1,2,90,40,23508391
332500250,,,,Traced,94,32,43,12,46,17,29813356
332504511,,,,Traced,130,47,1,1,126,46,25898578
332508862,,,,Traced,93,35,1,,92,35,23749562
332513142,,,,Traced,113,45,2,,111,45,22038134
332853941,,,,Traced,82,26,4,1,77,25,18320411
333177968,,,,Traced,109,38,10,4,99,34,26484864
333195051,,,,Traced,118,36,1,,117,36,31148599
333523535,,,,Traced,699,111,2,1,697,110,84325708
333535997,,,,Traced,94,30,2,,92,30,17553459
333536377,,,,Traced,51,22,4,1,47,21,14454944
333868337,,,,Traced,69,25,2,1,67,24,18185247
362853300,,,,Traced,58,27,3,3,50,24,15756649
362857131,,,,Traced,41,18,7,3,34,15,13846294
362857380,,,,Traced,73,33,7,2,65,29,20196932
362857567,,,,Traced,47,16,1,1,43,14,12127692
362857733,,,,Traced,32,10,4,1,28,9,9282469
362857827,,,,Traced,76,19,2,,64,19,18234554
362862355,,,,Traced,44,17,3,,37,16,15027595
362862579,,,,Traced,50,18,4,3,46,14,12085113
362862596,,,,Traced,33,17,1,2,26,10,9922854
363189382,,,,Traced,116,42,2,,114,42,25106040
363193712,,,,Traced,77,32,11,2,66,30,17803398
363198172,,,,Traced,61,30,8,1,52,28,19194183
363198369,,,,Traced,39,21,5,3,31,18,13563677
363198403,,,,Traced,46,19,3,2,43,17,13141064
363198448,,,,Traced,92,36,1,2,89,33,29029272
363202723,,,,Traced,50,21,1,,46,21,16427985
363202751,,,,Traced,95,42,2,3,90,38,26658839
363530727,,,,Traced,56,15,4,,51,15,9526907
363535123,,,,Traced,82,25,4,,76,25,19617618
363539516,,,,Traced,99,34,3,2,96,32,24154490
363543907,,,,Traced,49,16,6,2,43,14,12559180
