id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(L) #post,a'L(L) #pre,gL(L) #post,gL(L) #pre,#voxels
268731005,SMP146(ADM10)_L,,SMP146,Traced,3566,962,1,,12,1,1973521252
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,1,2,19,35,5265462913
425276848,DPM_L,,DPM,Traced,30007,7088,1,,16559,4033,6483095365
489051866,,,,Traced,71,40,18,11,9,7,32974410
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,3,2,64,104,1964048244
550081497,MBON24(B2y5)(PDL05)_L,,MBON24,Traced,5962,67,7,,437,3,758606595
613191512,CL129(PDL11)_L,,CL129,Traced,770,525,4,,42,10,360983220
674882250,CRE011(ADM05)_L,,CRE011,Traced,16768,707,2,,165,11,2764738281
706287739,,,,Traced,45,35,34,26,1,1,32124162
706633128,,,,Traced,52,36,16,6,2,1,27955134
706948318,MBON31(a'1a)(ADM10)_L,,MBON31,Traced,3298,932,52,,33,2,1535739624
766255970,(MBDLaxon1),,,Traced,1484,1148,11,,573,10,1016097670
766660682,,,,Traced,805,403,57,37,5,2,329942671
1015622418,,,,Traced,809,407,3,,761,369,235779801
1171423213,,,,Traced,978,429,1,1,932,402,295799970
1173866149,,,,Traced,400,200,5,1,20,17,142748783
5813061512,MBON06(B1>a)_R,,MBON06,Traced,12107,496,16,12,142,10,2038784377
