id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(L) #post,bL(L) #pre,EB #post,EB #pre,#voxels
456846996,PAM11(a1)_R,,PAM11,Traced,529,165,2,,,1,371345136
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,1,,1235,1188,4148353890
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,1,2,1217,1160,5331729469
1167295856,ER4d(ring)_L,,ER4d,Traced,1925,553,2,,1874,546,814085663
1167295916,ER4d(ring)_R,,ER4d,Traced,2047,554,2,,1909,530,1212692476
1167300154,ER4d(ring)_R,,ER4d,Traced,1978,530,2,,1830,519,1055943440
1167632513,ER4d(ring)_R,,ER4d,Traced,2037,590,1,1,1899,575,1211989816
1167645658,ER2_c(ring)_R,,ER2_c,Traced,1575,512,1,,1417,510,1028415501
1167904437,ER2_c(ring)_R,,ER2_c,Traced,1568,464,3,,1442,461,1009871327
1198684596,ER2_a(ring)_L,,ER2_a,Traced,1267,449,1,,1213,448,549789390
1198931241,ER4d(ring)_R,,ER4d,Traced,2230,596,2,1,2079,578,1174302319
1199712167,ER2_c(ring)_L,,ER2_c,Traced,1416,459,2,,1412,459,642612702
1229965474,ER4d(ring)_R,,ER4d,Traced,1948,575,3,,1810,547,1246980226
1230026228,ER4d(ring)_L,,ER4d,Traced,1953,590,1,,1939,580,777031418
1230026402,ER4d(ring)_L,,ER4d,Traced,1845,537,3,,1830,534,760123557
1230125720,ER3w_b(ring)_L,,ER3w_b,Traced,905,291,1,,814,288,419079858
1230480261,ER2_c(ring)_L,,ER2_c,Traced,1499,466,2,,1453,465,714272277
1230738247,ER5(ring)_R,,ER5,Traced,998,592,1,,905,582,1212148019
1261056809,ER4d(ring)_L,,ER4d,Traced,1997,580,3,1,1985,573,720375603
1261091124,ER3d_a(ring)_L,,ER3d_a,Traced,1180,361,1,,1082,352,538435456
1261169514,ER3p_a(ring)_L,,ER3p_a,Traced,888,319,1,,800,313,456720664
1261423480,ER3d_c(ring)_L,,ER3d_c,Traced,1117,306,1,,1053,302,436452058
1292445517,ER3d_b(ring)_L,,ER3d_b,Traced,975,291,1,,868,283,389186608
1292799346,ER3m(ring)_L,,ER3m,Traced,924,333,2,,901,327,449128238
1292846965,ER4d(ring)_L,,ER4d,Traced,1823,554,3,,1808,552,793818583
1322811232,ER3p_b(ring)_L,,ER3p_b,Traced,973,340,1,,833,330,453208049
1324145475,ER4d(ring)_R,,ER4d,Traced,1999,555,1,3,1876,536,1148479791
1389029837,,,,Traced,136,59,135,58,1,1,41342448
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,88,29,57,34,6190229391
1419019956,PAM04_a(B2)_R,,PAM04_a,Traced,1655,255,570,92,,1,383407340
1450408873,,,,Traced,66,40,65,39,1,1,18213981
1451440550,,,,Traced,93,47,92,46,1,1,24892528
1480735753,,,,Traced,85,26,84,25,1,1,20417995
1481780662,,,,Traced,60,28,60,27,,1,16900484
5812981791,PPL108(PDL05)_L,,PPL108,Traced,5321,2389,1,1,,1,2164861052
5813045050,ER3w_b(ring)_L,,ER3w_b,Traced,902,296,1,,817,290,460800179
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,4,1,,1,3486100136
