id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(L) #post,gL(L) #pre,FB #post,FB #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,644,151,3576,2111,6917059458
519046655,FB1H(NO2/3)_L,CRENO23FB1-4,FB1H,Traced,7950,3818,28,1,3971,2823,3103732460
859714144,FB4Q_a_L,CRESMPFB4_5,FB4Q_a,Traced,1663,710,3,,1023,700,824119372
891107336,FB5W_L,SMPCREFB5_7,FB5W,Traced,663,229,1,,421,217,354530421
894168625,FB4P_b_L,CRESMPFB4_4,FB4P_b,Traced,1693,686,14,1,856,631,732988105
923787513,FB4K_L,CRESMPFB4_3,FB4K,Traced,1756,470,9,,1096,463,1395825196
923809011,FB4K_R,CRESMPFB4_3,FB4K,Traced,1752,403,19,,1023,402,1255531817
952166828,FB5K_L,CREFB5,FB5K,Traced,3583,610,5,2,2235,452,1132282137
1048975307,FB4P_a_L,CRESMPFB4_4,FB4P_a,Traced,2805,567,11,1,1941,488,699203176
1076293806,FB4D_L,CRESMPFB4_2,FB4D,Traced,1327,342,1,,1027,310,546158725
1101142279,FB4P_a_L,CRESMPFB4_4,FB4P_a,Traced,2700,526,6,,1704,444,713952917
1112777131,FB4F_a_L,CRELALFB4_2,FB4F_a,Traced,1404,354,4,,929,347,582749115
1131826900,FB4O_L,CRESMPFB4d,FB4O,Traced,1273,625,12,4,736,549,635401587
1131831702,FB4K_R,CRESMPFB4_3,FB4K,Traced,1656,426,25,,976,421,1356524757
1131836336,FB4R_L,CREFB4,FB4R,Traced,846,398,40,2,384,314,560532390
1132846376,FB5M_L,CRESMPFB5_5,FB5M,Traced,1654,445,4,,1035,438,676094561
1163228703,FB4F_a_L,CRELALFB4_2,FB4F_a,Traced,1231,361,2,,836,351,540522164
1224945409,FB2B_b_L,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_b,Traced,1370,619,3,,1331,617,1059621938
1293896697,FB4F_a_L,CRELALFB4_2,FB4F_a,Traced,1739,451,2,,1047,429,631618150
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,19,7,131,64,6190229391
5812983636,FB5C_L,SMPCREFB5_1,FB5C,Traced,2525,587,3,,1823,435,671097858
5813020577,FB4J_L,CRELALFB4_5,FB4J,Traced,1517,293,1,,931,281,578326407
5813022809,FB4F_b_L,CRELALFB4_2,FB4F_b,Traced,1502,329,2,,841,309,602615968
5813041796,FB4X_L,CRESIPFB45,FB4X,Traced,3822,1149,6,,2693,1138,1452721843
5813047616,FB5I_L,SMPCREFB5_3,FB5I,Traced,3894,1248,6,,2989,1222,1687433748
5813053846,FB4H_L,CRELALFB4_4,FB4H,Traced,3047,822,2,,1913,736,1618714005
5813056410,FB4R_L,CREFB4,FB4R,Traced,1131,515,43,,484,433,628946834
5813058442,FB5N_L,SMPCREFB5_4,FB5N,Traced,1684,492,2,,1045,478,757009013
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,211,143,3071,1745,3486100136
5813061541,FB4G_L,CRELALFB4_3,FB4G,Traced,3677,710,28,1,2216,551,1329389740
5813062592,FB5V_L,CRELALFB5,FB5V,Traced,1120,267,2,,414,188,425597565
5813076043,FB5D_L,CRESMPFB5_1,FB5D,Traced,2573,551,5,,1737,446,695440646
5813086586,FB4R_L,CREFB4,FB4R,Traced,947,358,35,1,394,264,447109708
5813088712,FB4D_L,CRESMPFB4_2,FB4D,Traced,1404,318,1,,1032,295,519936683
5813088939,FB6P_L,SMPCREFB6_1,FB6P,Traced,1862,285,2,,1372,249,600756468
