id,instance,notes,type,status,inputs (#post),outputs (#pre),EB #post,EB #pre,bL(L) #post,bL(L) #pre,#voxels
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,1,,7262,15,4356555624
550081497,MBON24(B2y5)(PDL05)_L,,MBON24,Traced,5962,67,1,,4739,13,758606595
551790913,PAM04_a(B2)_L,,PAM04_a,Traced,2194,457,1,,1454,296,403977461
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,1217,1160,1,2,5331729469
1078007730,PAM04_a(B2)_L,,PAM04_a,Traced,2210,396,1,,1226,206,367958807
1167295872,ER4d(ring)_L,,ER4d,Traced,2193,621,2184,606,,2,786241461
1167304403,ER4d(ring)_R,,ER4d,Traced,2039,552,1912,542,,1,1166760517
1167632513,ER4d(ring)_R,,ER4d,Traced,2037,590,1899,575,1,1,1211989816
1198413357,ER2_c(ring)_L,,ER2_c,Traced,1323,463,1239,456,,1,630315706
1198931241,ER4d(ring)_R,,ER4d,Traced,2230,596,2079,578,2,1,1174302319
1199699496,ER2_c(ring)_L,,ER2_c,Traced,1470,510,1385,508,,1,687083103
1233436426,PAM03(B2B'2a)_R,,PAM03,Traced,703,144,1,,180,59,239327987
1261056809,ER4d(ring)_L,,ER4d,Traced,1997,580,1985,573,3,1,720375603
1324145475,ER4d(ring)_R,,ER4d,Traced,1999,555,1876,536,1,3,1148479791
1389029837,,,,Traced,136,59,1,1,135,58,41342448
1389370945,,,,Traced,143,80,1,,142,80,45647097
1389383922,,,,Traced,116,44,1,,115,44,26977187
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,57,34,88,29,6190229391
1450408873,,,,Traced,66,40,1,1,65,39,18213981
1451440550,,,,Traced,93,47,1,1,92,46,24892528
1451440672,,,,Traced,75,35,1,,74,35,18786946
1480735753,,,,Traced,85,26,1,1,84,25,20417995
1481089771,,,,Traced,70,29,2,,68,28,21141262
1481098449,,,,Traced,92,32,1,,91,32,17920371
1481435127,,,,Traced,83,29,1,,82,29,16778703
5812979222,ER4d(ring)_R,,ER4d,Traced,2007,573,1846,559,,1,1089870136
5812979684,ER3m(ring)_L,,ER3m,Traced,847,262,826,247,,1,417567563
