id,instance,notes,type,status,inputs (#post),outputs (#pre),NO #post,NO #pre,PB #post,PB #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,300,198,3,3,6917059458
387023620,PEN_b(PB06b)_L4,PEN2,PEN_b(PEN2),Traced,1713,343,365,105,776,1,686693145
417998204,PFNv(PB05)_R4_C7,PFNv,PFNv,Traced,999,229,606,125,324,26,476702093
446714544,PFNd(PB04)_L5_C4,PFNd,PFNd,Traced,1407,310,538,94,538,1,488272608
478077561,PFNa(PB03)_L4_C3,PFNa,PFNa,Traced,617,118,228,43,352,1,331399103
478427368,PFNv(PB05)_L5_C4,PFNv,PFNv,Traced,985,297,516,133,373,50,549640572
508793049,PEN_a(PB06a)_L7,PEN1,PEN_a(PEN1),Traced,1607,587,505,130,274,4,809613851
539462336,PEN_b(PB06b)_L4,PEN2,PEN_b(PEN2),Traced,1609,311,388,89,698,2,603871773
541119189,PFNa(PB03)_R4_C7,PFNa,PFNa,Traced,645,118,292,53,311,1,347051058
569481415,PFNa(PB03)_L5_C4,PFNa,PFNa,Traced,890,194,454,68,381,3,506958053
569775058,PEN_b(PB06b)_R4,PEN2,PEN_b(PEN2),Traced,1582,336,358,92,621,1,777549043
570185174,PFNa(PB03)_L7_C6,PFNa,PFNa,Traced,820,203,515,74,259,4,519425583
570461892,PEN_a(PB06a)_R3,PEN1,PEN_a(PEN1),Traced,1915,565,330,98,625,2,980591420
571826184,PFNp_a(PB01a)_R3_C8,PFNp_a,PFNp_a,Traced,277,74,132,32,117,4,190747929
572167406,PFNp_a(PB01a)_R2_C9,PFNp_a,PFNp_a,Traced,262,63,122,30,119,2,161518101
572494993,PFNv(PB05)_R4_C7,PFNv,PFNv,Traced,887,211,524,112,320,32,410291839
601120917,PFNv(PB05)_R6_C5,PFNv,PFNv,Traced,935,249,473,139,420,44,324848103
601557317,PFNv(PB05)_L6_C5,PFNv,PFNv,Traced,560,216,366,99,132,35,358469624
604242162,PFNv(PB05)_L2_C1,PFNv,PFNv,Traced,1137,327,552,147,443,47,602925629
632155800,PFNv(PB05)_R6_C5,PFNv,PFNv,Traced,1042,258,609,146,382,34,458330645
632259507,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,148,48,96,23,36,1,124912295
632600726,PFNm_a(PB02a)_L6_C5,PFNm_a,PFNm_a,Traced,492,99,312,39,123,1,218388914
632915714,PFNm_a(PB02a)_L4_C3,PFNm_a,PFNm_a,Traced,626,95,372,37,197,1,246213024
633943192,PFNd(PB04)_L4_C3,PFNd,PFNd,Traced,1133,197,405,75,552,1,471084398
663298610,PFNd(PB04)_L6_C5,,PFNd,Traced,709,183,323,53,197,2,403942805
663562172,PEN_b(PB06b)_R4,PEN2,PEN_b(PEN2),Traced,1544,319,336,91,630,2,668330517
663950729,PFNm_b(PB02b)_L4_C3,PFNm_b,PFNm_b,Traced,486,93,235,34,149,1,224974171
