id,instance,notes,type,status,inputs (#post),outputs (#pre),PB #post,PB #pre,LAL(L) #post,LAL(L) #pre,#voxels
481112669,PFL2(PB12b)_R1_C4,PB1-4FB1245LAL,PFL2,Traced,2852,418,380,1,66,226,1542373100
635234035,PFL2(PB12b)_R3_C3,PB1-4FB1245LAL,PFL2,Traced,2968,326,618,4,41,162,1102000302
760094565,PFL2(PB12b)_L1_C5,PB1-4FB1245LAL,PFL2,Traced,2507,428,352,,57,196,1535167929
786989471,PFR_b(PB11b)_R4_C5,PFR_b,PFR_b,Traced,1833,200,157,11,2,2,690237195
850194651,PFL2(PB12b)_L4_C8,PB1-4FB1245LAL,PFL2,Traced,2910,381,1077,6,59,193,1049700272
852236918,ATL034(PDM32)_L,,ATL034,Traced,916,539,2,1,151,24,1285653439
880875840,PFL2(PB12b)_L5_C9,PB1-4FB1245LAL,PFL2,Traced,2712,398,830,1,43,200,1069803729
881458145,PFL1(PB12a)_R4_C5,PFLC,PFL1,Traced,1084,2,671,1,,1,898083964
882144985,IB005_R,,IB005,Traced,2133,702,1,,246,154,1521696579
882239837,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,3466,366,635,7,67,186,1151779323
910447181,PFL3(PB12c)_R5_C3,PB1-7FB1245LAL,PFL3,Traced,3671,15,432,1,5,4,723546053
910787992,PFL1(PB12a)_R5_C4,PFLC,PFL1,Traced,1194,63,552,3,9,42,868477066
916284630,PFL2(PB12b)_R2_C4,PB1-4FB1245LAL,PFL2,Traced,2791,419,560,1,59,200,1366489368
948333783,PFL2(PB12b)_R3_C3,PB1-4FB1245LAL,PFL2,Traced,3219,320,535,2,36,147,1090467478
979752365,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,2750,307,572,1,53,152,1104413493
1002507170,PFL1(PB12a)_R7_C1,PFLC,PFL1,Traced,1392,85,505,6,5,39,1127535523
1005261469,PFR_b(PB11b)_R3_C6,PFR_b,PFR_b,Traced,2356,222,184,18,14,16,761416202
1008028537,PFL3(PB12c)_R3_C5,PB1-7FB1245LAL,PFL3,Traced,1979,8,703,,,2,805860997
1036296133,PFR_a(PB11a)_R4_C6,PFR_a,PFR_a,Traced,1467,417,56,,,1,467260272
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,3,,2,2,5331729469
1064577636,PFR_b(PB11b)_R7_C2,PFR_b,PFR_b,Traced,1928,222,173,15,17,12,745793303
1073504644,PFR_b(PB11b)_R5_C4,PFR_b,PFR_b,Traced,2215,271,203,20,18,7,737078778
1097718901,PFL1(PB12a)_R2_C7,PFLC,PFL1,Traced,1417,9,451,1,5,3,868066626
1135907207,PFR_b(PB11b)_R6_C3,PFR_b,PFR_b,Traced,2556,229,235,21,10,13,704924127
1159123802,PFR_b(PB11b)_L1_C9_irreg,,PFR_b,Traced,1666,219,210,20,15,11,639370086
1167282562,PFL2(PB12b)_R4_C2,PB1-4FB1245LAL,PFL2,Traced,3100,376,907,6,48,160,1481422725
1200032115,PFL3(PB12c)_R7_C1,PB1-7FB1245LAL,PFL3,Traced,4647,264,663,4,60,254,1365251696
1200053009,PFL2(PB12b)_R5_C1,PB1-4FB1245LAL,PFL2,Traced,3032,399,782,5,56,175,1532312771
1381484065,PFL2(PB12b)_L2_C6,PB1-4FB1245LAL,PFL2,Traced,2912,435,560,2,43,191,1437029317
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,1,1,,1,6190229391
5813009885,ATL035(PDM32)_L,,ATL035,Traced,964,332,1,,143,28,1023890880
5813057033,ATL037(PDM33)_L,,ATL037,Traced,1921,1043,1,,243,21,1555658437
5813130063,SIP081(PDM13)_L,,SIP081,Traced,557,176,1,1,51,9,516169030
