id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(L) #post,aL(L) #pre,#voxels
239395239,,,,Traced,116,42,116,42,25517441
239395292,,,,Traced,332,39,332,39,43056726
239395305,,,,Traced,95,48,95,48,23001468
239395319,,,,Traced,169,9,169,9,9511050
239395350,,,,Traced,115,45,115,45,20090819
239395358,,,,Traced,118,46,118,46,22563778
239399511,,,,Traced,85,29,85,29,16272723
239399518,,,,Traced,41,23,41,23,11386000
239399526,,,,Traced,282,33,278,33,48837076
239399581,,,,Traced,14,10,14,10,9893666
239399602,,,,Traced,91,33,91,33,17013982
239399645,,,,Traced,103,47,103,47,24473734
239399660,,,,Traced,105,37,105,37,21241548
239399691,,,,Traced,65,21,65,21,13109932
239399693,,,,Traced,75,27,75,27,14089802
239399712,,,,Traced,51,30,49,30,18611082
239399716,,,,Traced,51,17,51,17,14797369
239404017,,,,Traced,105,38,105,38,18262715
239731801,,,,Traced,81,32,81,32,18389745
239736057,,,,Traced,110,45,109,44,25090064
239736092,,,,Traced,94,42,94,42,21614573
239736097,,,,Traced,76,23,76,23,17399144
239736118,,,,Traced,119,45,118,44,26547135
239736135,,,,Traced,96,30,96,30,17184699
239736149,,,,Traced,114,38,114,38,17910435
239736157,,,,Traced,88,37,88,37,18540660
239736205,,,,Traced,101,32,101,32,20144159
239736232,,,,Traced,88,28,88,28,12882209
239736319,,,,Traced,87,45,87,45,20522863
239736335,,,,Traced,76,32,76,32,16017629
239736345,,,,Traced,86,27,86,27,17553158
239736356,,,,Traced,103,47,103,47,25231070
239736369,,,,Traced,75,29,75,29,17330572
239736380,,,,Traced,116,49,116,49,26212997
239736384,,,,Traced,56,20,56,20,12963535
239736395,,,,Traced,71,31,71,31,15111247
239736396,,,,Traced,74,31,74,31,18707287
239736409,,,,Traced,68,20,68,20,15215097
239736422,,,,Traced,94,36,94,36,19864944
239736436,,,,Traced,84,27,83,26,19028092
239736458,,,,Traced,86,29,86,29,15144532
239736464,,,,Traced,52,20,52,20,11688587
239736472,,,,Traced,54,27,54,27,12165126
239736480,,,,Traced,222,24,214,24,30900436
239736497,,,,Traced,63,22,63,22,13676603
239740341,,,,Traced,98,36,98,36,18258929
239740349,,,,Traced,88,30,88,30,17652982
239740353,,,,Traced,92,33,92,33,14776765
239740449,,,,Traced,124,44,124,44,34210396
239740454,,,,Traced,123,44,123,44,25227094
239740471,,,,Traced,78,26,78,26,15995006
239740528,,,,Traced,90,28,90,28,12886105
239740544,,,,Traced,104,37,104,37,19359925
239740572,,,,Traced,75,29,75,29,12347123
239740580,,,,Traced,83,36,83,36,14282065
239740586,,,,Traced,86,33,86,33,22810385
239740598,,,,Traced,80,29,80,29,21321077
239740612,,,,Traced,133,41,133,41,31629154
239740625,,,,Traced,100,38,100,38,22789353
239740647,,,,Traced,106,33,106,33,17575000
239740662,,,,Traced,84,29,84,29,12204368
239740694,,,,Traced,2080,395,2076,394,260529914
239740710,,,,Traced,104,40,104,40,21913473
239740741,,,,Traced,84,35,84,35,16953294
239740767,,,,Traced,91,28,91,28,16076567
239740832,,,,Traced,125,48,125,48,21742483
239740848,,,,Traced,86,31,86,31,19240934
239744816,,,,Traced,26,11,26,11,8366602
239744912,,,,Traced,72,30,72,30,21759076
239744948,,,,Traced,70,31,70,31,19677691
239744950,,,,Traced,144,46,142,46,28650838
239744969,,,,Traced,138,53,138,53,33512991
240077104,,,,Traced,103,27,103,27,17361069
240077172,,,,Traced,104,39,104,39,17895155
240081461,,,,Traced,67,23,67,23,14256696
240081473,,,,Traced,89,36,89,36,15306398
240081558,,,,Traced,120,39,120,39,22397654
240081575,,,,Traced,106,51,106,49,26307395
240081613,,,,Traced,135,40,135,40,17494180
240081631,,,,Traced,117,49,117,49,23342621
240081637,,,,Traced,69,25,69,25,14098084
240081652,,,,Traced,86,36,86,36,16352798
240085842,,,,Traced,99,54,99,54,31768534
270089247,,,,Traced,121,57,118,55,30955670
270089295,,,,Traced,20,11,20,11,8193396
270089341,,,,Traced,101,52,96,48,28348240
270093396,,,,Traced,111,48,109,48,26813424
270093398,,,,Traced,100,41,99,41,24064768
270093399,,,,Traced,68,31,68,31,18361183
270093428,,,,Traced,85,28,85,28,14021461
270093467,,,,Traced,104,35,104,35,18897606
270093476,,,,Traced,41,15,41,15,14681052
270093503,,,,Traced,94,26,94,26,13206947
270093514,,,,Traced,110,51,110,51,24180018
270093542,,,,Traced,92,39,92,39,19569551
270093552,,,,Traced,129,45,123,45,26059791
270097686,,,,Traced,1400,35,1390,35,129580473
270097733,,,,Traced,77,29,77,29,15835893
270425687,,,,Traced,99,31,99,31,17431323
270425716,,,,Traced,134,9,134,9,13472172
270425765,,,,Traced,91,28,91,28,16297680
270425785,,,,Traced,110,30,110,30,17124923
270425792,,,,Traced,104,32,104,32,18412939
270425796,,,,Traced,57,27,57,27,12647471
270425818,,,,Traced,104,28,104,28,19906261
270425841,,,,Traced,50,19,50,19,13035600
270429968,,,,Traced,90,37,90,37,16511409
270429982,,,,Traced,89,28,89,28,17624363
270429988,,,,Traced,93,27,93,27,18769867
270430027,,,,Traced,102,35,102,35,16814302
270430039,,,,Traced,78,32,78,32,16885212
270430062,,,,Traced,64,30,64,30,15911690
270430085,,,,Traced,97,37,97,37,19201989
270430134,,,,Traced,69,31,69,31,14273427
270430164,,,,Traced,70,24,70,24,12523683
270430198,,,,Traced,80,28,80,28,16213670
270430240,,,,Traced,95,32,95,32,16590447
270430263,,,,Traced,55,21,55,21,10505097
270430275,,,,Traced,36,17,36,17,9225816
270430276,,,,Traced,101,32,101,32,17577367
270430340,,,,Traced,94,39,94,39,17187961
270430424,,,,Traced,68,23,68,23,15484559
270430448,,,,Traced,78,32,77,32,24355981
270430461,,,,Traced,120,41,120,41,21840614
270430491,,,,Traced,61,31,61,30,15807075
270430529,,,,Traced,64,30,64,30,14031229
270434333,,,,Traced,329,74,329,74,40204323
270434339,,,,Traced,89,36,89,36,18164124
270434364,,,,Traced,92,39,92,39,15704444
