id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(L) #post,bL(L) #pre,FB #post,FB #pre,#voxels
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,1,,3695,1698,4148353890
923809011,FB4K_R,CRESMPFB4_3,FB4K,Traced,1752,403,2,,1023,402,1255531817
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,1,2,3598,1723,5331729469
1070111661,FB5W_L,SMPCREFB5_7,FB5W,Traced,1299,388,1,,851,364,668171051
1131831702,FB4K_R,CRESMPFB4_3,FB4K,Traced,1656,426,3,,976,421,1356524757
1261056809,ER4d(ring)_L,,ER4d,Traced,1997,580,3,1,,1,720375603
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,88,29,131,64,6190229391
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,4,1,3071,1745,3486100136
5813061541,FB4G_L,CRELALFB4_3,FB4G,Traced,3677,710,1,,2216,551,1329389740
5813076043,FB5D_L,CRESMPFB5_1,FB5D,Traced,2573,551,5,,1737,446,695440646
