id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(L) #post,bL(L) #pre,LAL(L) #post,LAL(L) #pre,#voxels
484735678,PAM04_a(B2)_R,,PAM04_a,Traced,867,142,327,58,1,1,279368748
551445253,PAM04_a(B2)_L,,PAM04_a,Traced,1266,271,747,147,11,7,307715800
582139830,PAM04_a(B2)_L,,PAM04_a,Traced,1306,281,837,170,2,1,324988292
707660374,PAM04_a(B2)_L,,PAM04_a,Traced,1650,313,997,184,1,1,311089027
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,303,82,4,3,135248805
829059301,CRE080(PDM13)_L,pMP6b candidates,CRE080,Traced,582,199,2,,4,1,697448888
891771553,CRE100(PDM27)_L,CL-VeSp,CRE100,Traced,2897,96,3,,795,10,1561570718
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,2,,59,76,2722993954
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,1,,3,1,4148353890
955888209,,,,Traced,346,279,1,,57,45,275963522
984536209,LAL100_R,,LAL100,Traced,3609,1173,1,,58,62,2063807718
985131499,MBON22(calyx)(PVL06)_L,,MBON22,Traced,685,760,3,,,1,977135458
985472994,LAL198(PVM14)_L,,LAL198,Traced,595,720,1,,45,1,992826233
985813153,MBON21(y4y5)(PVL06)_L,,MBON21,Traced,10041,1229,55,,73,85,2278694286
986974738,CRE010(ADM03)_L,,CRE010,Traced,649,333,2,,15,7,627397855
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,1,2,2,2,5331729469
1047676850,CRE008(ADM02)_L,,CRE008,Traced,557,259,1,,63,16,552011293
1167295856,ER4d(ring)_L,,ER4d,Traced,1925,553,2,,5,1,814085663
1167295916,ER4d(ring)_R,,ER4d,Traced,2047,554,2,,6,4,1212692476
1167300154,ER4d(ring)_R,,ER4d,Traced,1978,530,2,,,1,1055943440
1167632513,ER4d(ring)_R,,ER4d,Traced,2037,590,1,1,4,1,1211989816
1172796014,PAM08_a(y4)_L,,PAM08_a,Traced,825,209,1,,,1,259656990
1198931241,ER4d(ring)_R,,ER4d,Traced,2230,596,2,1,5,4,1174302319
1229965474,ER4d(ring)_R,,ER4d,Traced,1948,575,3,,8,6,1246980226
1230026228,ER4d(ring)_L,,ER4d,Traced,1953,590,1,,5,3,777031418
1230026402,ER4d(ring)_L,,ER4d,Traced,1845,537,3,,6,1,760123557
1252966452,LAL199(PVM14)_L,,LAL199,Traced,434,418,2,,52,124,622234921
1261056809,ER4d(ring)_L,,ER4d,Traced,1997,580,3,1,1,1,720375603
1292846965,ER4d(ring)_L,,ER4d,Traced,1823,554,3,,4,1,793818583
1324145475,ER4d(ring)_R,,ER4d,Traced,1999,555,1,3,4,5,1148479791
1388693159,,,,Traced,166,79,164,78,2,1,38659912
1388693182,,,,Traced,138,74,138,73,,1,35411763
1389038449,,,,Traced,147,73,147,71,,2,38303914
1389716254,,,,Traced,122,51,119,50,,1,29646169
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,88,29,,1,6190229391
1419374057,,,,Traced,116,63,114,61,1,1,32406936
1420060490,,,,Traced,104,51,100,49,4,2,29834986
1420073231,,,,Traced,130,71,130,69,,1,35668041
1420418437,,,,Traced,124,57,122,56,2,1,28468433
1420755473,,,,Traced,113,52,113,51,,1,27448330
