id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(L) #post,b'L(L) #pre,LAL(L) #post,LAL(L) #pre,#voxels
422751191,SMP177_R,,SMP177,Traced,13884,2333,2,,7,21,3691832933
424918786,PPL107(PDL05)_L,,PPL107,Traced,7622,3353,1,,92,3,2320900064
480258208,LHPV8a1_R,,LHPV8a1,Traced,1555,683,1,,6,8,1994134905
484130600,SMP145_R,,SMP145,Traced,3609,2264,2,1,4,11,2489431605
484735678,PAM04_a(B2)_R,,PAM04_a,Traced,867,142,12,3,1,1,279368748
485585976,SMP177(PDL05)_L,,SMP177,Traced,7757,1966,12,8,35,29,2422546196
487187476,SIP087_R,,SIP087,Traced,10957,3440,2,2,31,37,4036468535
519046655,FB1H(NO2/3)_L,CRENO23FB1-4,FB1H,Traced,7950,3818,1,,76,21,3103732460
550081666,SMP114_R,,SMP114,Traced,4841,773,15,,31,4,2038760331
551445253,PAM04_a(B2)_L,,PAM04_a,Traced,1266,271,27,3,11,7,307715800
577554935,SMP145(ADM10)_L,,SMP145,Traced,1810,1460,10,9,72,82,1640712084
581121328,,,,Traced,890,139,6,,49,1,851399266
581746661,SMP048(ADM01)_L,,SMP048,Traced,2927,2401,2,,218,196,4038248023
582139830,PAM04_a(B2)_L,,PAM04_a,Traced,1306,281,22,2,2,1,324988292
604289581,SMP376(PDM08)_L,C-Sm,SMP376,Traced,3551,871,4,,63,35,1801835068
611089775,MBON35(y2)_L,,MBON35,Traced,14188,465,3,,687,29,1891978571
640630581,CRE058_R,,CRE058,Traced,350,160,1,2,1,2,394843136
641688553,CRE042_R,,CRE042,Traced,6850,1277,16,2,140,103,2405591250
643847447,MBON32(y2)(ADM08)_L,,MBON32,Traced,9197,1062,69,,141,5,3202870430
669965108,CRE076_R,,CRE076,Traced,2873,1348,1,,22,11,2190715571
672192070,CRE077(PDM09)_L,,CRE077,Traced,2316,645,4,,18,27,1277530911
674882250,CRE011(ADM05)_L,,CRE011,Traced,16768,707,259,2,1906,73,2764738281
675136878,CRE070_R,,CRE070,Traced,2002,703,1,,11,7,1301294761
675528661,CRE024_R,,CRE024,Traced,4337,984,69,,228,6,2090195593
700658962,,,,Traced,1161,614,3,,47,4,822435440
702704906,CRE058_R,,CRE058,Traced,463,147,1,2,4,2,394131167
706948318,MBON31(a'1a)(ADM10)_L,,MBON31,Traced,3298,932,170,2,105,132,1535739624
707660374,PAM04_a(B2)_L,,PAM04_a,Traced,1650,313,11,,1,1,311089027
730013818,ATL007(ADM10)_L,CL-AtIb(c)1,ATL007,Traced,1013,340,6,,467,26,877968363
732038980,,,,Traced,56,128,1,1,4,6,128253142
734599550,CRE076(PDM08)_L,,CRE076,Traced,1844,1309,2,,56,1,1388838528
736632557,CRE092(PDM13)_L,pMP6a candidates,CRE092,Traced,611,277,1,,20,4,652624377
767174553,CRE058_R,,CRE058,Traced,286,141,3,3,3,12,356082675
768677562,,,,Traced,2537,714,2,,203,19,1232037610
798892246,CRE058_R,,CRE058,Traced,338,167,1,3,6,8,404837069
800212579,SMP148_R,,SMP148,Traced,5367,438,2,,333,402,1733121170
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,13,4,4,3,135248805
829939688,CRE058_R,,CRE058,Traced,447,171,3,2,5,14,468137590
830419511,,,,Traced,263,177,3,1,2,22,257876494
859735285,CRE105(PVL06)_L,,CRE105,Traced,1589,470,1,,24,3,710680979
862792304,(PDM13)_L,,,Traced,536,106,7,,18,11,766883149
891111303,CRE096(PDM13)_L,,CRE096,Traced,654,162,3,,8,1,566828528
891771553,CRE100(PDM27)_L,CL-VeSp,CRE100,Traced,2897,96,2,,795,10,1561570718
912951014,MBON26(B'2d)(PDM28)_L,,MBON26,Traced,6395,1588,3100,29,915,208,2272675577
924391422,,,,Traced,455,421,1,,,1,413803412
952166828,FB5K_L,CREFB5,FB5K,Traced,3583,610,5,,31,5,1132282137
985131499,MBON22(calyx)(PVL06)_L,,MBON22,Traced,685,760,21,16,,1,977135458
985472994,LAL198(PVM14)_L,,LAL198,Traced,595,720,4,,45,1,992826233
985813153,MBON21(y4y5)(PVL06)_L,,MBON21,Traced,10041,1229,28,10,73,85,2278694286
1015143077,CRE024_L,,CRE024,Traced,4924,969,3,,5,3,1768786393
1016506999,LAL198_R,,LAL198,Traced,2427,780,3,3,1,8,1609357758
1045832508,LAL075(AVM07)_L,L-LC(c)2,LAL075,Traced,1095,596,1,1,758,13,760736824
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,172,24,79,2,4211579375
1131836336,FB4R_L,CREFB4,FB4R,Traced,846,398,1,,10,1,560532390
1171785552,PAM13(B'1ap)_L,,PAM13,Traced,662,221,276,114,31,1,282949058
1231044615,LAL076_R,L-LC(c)1,LAL076,Traced,4220,709,1,,144,599,1394142188
1389716254,,,,Traced,122,51,3,,,1,29646169
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,8,9,,1,6190229391
1576815601,LAL177(PVM03)_L,,LAL177,Traced,857,445,1,,87,8,538993825
1779696775,LAL084(AVM09)_L,SpVeL-LSpIp(c)2,LAL084,Traced,515,990,1,,342,1,1622938985
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,26,5,61,44,3325948715
