id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(L) #post,b'L(L) #pre,a'L(L) #post,a'L(L) #pre,#voxels
299082033,LHPV5e1(PDL05)_L,,LHPV5e1,Traced,4201,1313,169,3,22,1,1486830838
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,29,38,1,2,5265462913
424918786,PPL107(PDL05)_L,,PPL107,Traced,7622,3353,1,,2,3,2320900064
489051772,,,,Traced,52,32,8,7,18,9,25148698
489051866,,,,Traced,71,40,7,2,18,11,32974410
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,40,71,3,2,1964048244
642702809,CRE050_R,not yet identified MBON candidates,CRE050,Traced,4620,620,25,,14,1,2023774583
675602047,,,,Traced,45,34,8,8,19,12,25643951
737672126,,,,Traced,111,53,73,34,25,12,42419389
766660682,,,,Traced,805,403,6,,57,37,329942671
768677562,,,,Traced,2537,714,2,,,2,1232037610
831113316,,,,Traced,51,28,1,1,25,14,25931501
831114007,,,,Traced,48,29,1,1,29,20,23307647
1079738195,,,,Traced,7,5,1,,1,2,5685494
1170409025,,,,Traced,401,202,362,174,19,9,122832054
1171423213,,,,Traced,978,429,19,7,1,1,295799970
1173866149,,,,Traced,400,200,348,160,5,1,142748783
5813019976,PPL104(a'3)(PDL05)_L,,PPL104,Traced,2138,770,138,1,30,15,869209965
5813061512,MBON06(B1>a)_R,,MBON06,Traced,12107,496,181,14,16,12,2038784377
