id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(L) #post,gL(L) #pre,bL(L) #post,bL(L) #pre,#voxels
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,19,35,248,35,5265462913
425276848,DPM_L,,DPM,Traced,30007,7088,16559,4033,5333,1048,6483095365
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,64,104,239,48,1964048244
520380132,SMP127_L,,SMP127,Traced,508,457,13,,,2,478509017
550081497,MBON24(B2y5)(PDL05)_L,,MBON24,Traced,5962,67,437,3,4739,13,758606595
551790504,PAM04_a(B2)_L,,PAM04_a,Traced,2460,400,2,,1554,243,382607989
644896959,PAM09(B1ped)_L,,PAM09,Traced,710,227,1,,356,113,275698658
676612729,PAM04_a(B2)_L,,PAM04_a,Traced,836,225,8,7,597,150,277333760
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,4,1,303,82,135248805
984799284,CRE060_R,,CRE060,Traced,844,393,67,34,,1,738647628
1015622418,,,,Traced,809,407,761,369,,2,235779801
1016166928,,,,Traced,202,385,13,18,,1,299158941
1016611275,(PVL05)_L,,,Traced,934,741,150,45,1,1,614564619
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,13692,266,84,2,2083130629
1048004460,PAM09(B1ped)_L,,PAM09,Traced,743,225,5,,465,136,233922701
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,1,1,5,1,339562986
1171768085,,,,Traced,485,252,449,225,3,2,143880669
1202453960,,,,Traced,382,163,381,162,1,1,92859307
1205216792,,,,Traced,885,362,824,326,1,1,248160128
1266966339,,,,Traced,204,115,180,62,,1,96606911
1295225451,PAM04_b(B2)(ADM02)_L,,PAM04_b,Traced,545,134,161,50,184,48,225739136
1295907391,,,,Traced,299,110,299,109,,1,69568624
1295912040,,,,Traced,418,142,414,140,,1,93485498
1296576977,,,,Traced,306,158,306,154,,4,92837744
1326934065,,,,Traced,349,153,348,152,1,1,76589365
1358685642,,,,Traced,203,70,1,,194,69,50064268
1390069856,,,,Traced,131,75,2,1,129,70,47405024
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,19,7,88,29,6190229391
1420742426,,,,Assign,1,2,1,1,,1,2114368
1452148579,,,,Traced,269,30,6,,263,30,30591258
1453119928,,,,Orphan,24,19,18,13,1,2,8866820
1453176009,,,,Traced,2400,56,648,14,1,1,1032341298
5812979561,,,,Traced,371,123,371,122,,1,70959888
5812979789,,,,Traced,123,67,1,,121,66,37393428
5812981791,PPL108(PDL05)_L,,PPL108,Traced,5321,2389,15,2,1,1,2164861052
5813020996,SMP384(PDM09)_L,,SMP384,Traced,4802,2862,3,8,,1,2685199565
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,7,1,8835,81,3410455915
5813056180,,,,Traced,278,99,1,,,1,101246071
5813058050,PPL102(y1)_R,,PPL102,Traced,8002,2059,32,18,4,1,3343482793
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,211,143,4,1,3486100136
5813061512,MBON06(B1>a)_R,,MBON06,Traced,12107,496,142,10,11148,221,2038784377
5813127084,,,,Traced,450,161,450,160,,1,88640334
5901209100,,,,Orphan,7,4,3,1,4,3,9233201
