id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(L) #post,gL(L) #pre,b'L(L) #post,b'L(L) #pre,#voxels
205985855,,,,Traced,1406,139,11,,45,1,575419822
268731005,SMP146(ADM10)_L,,SMP146,Traced,3566,962,12,1,4,1,1973521252
299289811,SMP146_R,,SMP146,Traced,5080,1011,22,15,30,36,2562854346
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,644,151,19,14,6917059458
360764170,SMP125_R,,SMP125,Traced,372,262,1,,,3,708327421
393404592,SMP127_R,,SMP127,Traced,2570,648,13,4,34,23,1245001681
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,19,35,29,38,5265462913
425276848,DPM_L,,DPM,Traced,30007,7088,16559,4033,6728,1648,6483095365
484130600,SMP145_R,,SMP145,Traced,3609,2264,10,5,2,1,2489431605
487925037,MBON03(B'2mp)_R,,MBON03,Traced,18706,1368,4,,16106,129,3979007410
487925063,MBON04(B'2mp_bilateral)_R,,MBON04,Traced,16859,1776,2269,4,7340,7,3269688224
489051866,,,,Traced,71,40,9,7,7,2,32974410
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,64,104,40,71,1964048244
520380132,SMP127_L,,SMP127,Traced,508,457,13,,30,19,478509017
550408954,PAM01_a(y5)_L,,PAM01_a,Traced,1203,163,679,111,22,3,305318308
550431171,,,,Traced,374,415,1,3,4,5,466149886
551790504,PAM04_a(B2)_L,,PAM04_a,Traced,2460,400,2,,17,3,382607989
577554935,SMP145(ADM10)_L,,SMP145,Traced,1810,1460,1,3,10,9,1640712084
580317662,PAM08_c(y4)_R,,PAM08_c,Traced,1866,319,274,58,10,4,417405171
613040803,CRE049_R,,CRE049,Traced,2229,750,6,5,14,4,1511757943
641688553,CRE042_R,,CRE042,Traced,6850,1277,4,,16,2,2405591250
643501489,PAM02(B'2a)_L,,PAM02,Traced,1213,188,137,15,528,98,299806071
644896959,PAM09(B1ped)_L,,PAM09,Traced,710,227,1,,22,6,275698658
668285416,SMP151(ADM10)_L,,SMP151,Traced,320,550,1,2,,1,642080855
673509195,MBON01(y5B'2a)_L,,MBON01,Traced,29244,2205,22344,28,4841,8,6713237576
674882250,CRE011(ADM05)_L,,CRE011,Traced,16768,707,165,11,259,2,2764738281
676612729,PAM04_a(B2)_L,,PAM04_a,Traced,836,225,8,7,11,2,277333760
703900244,CRE042(ADM10)_L,,CRE042,Traced,5086,1320,23,,24,1,2183958132
706633128,,,,Traced,52,36,2,1,,2,27955134
706948318,MBON31(a'1a)(ADM10)_L,,MBON31,Traced,3298,932,33,2,170,2,1535739624
737167616,PAM02(B'2a)_R,,PAM02,Traced,1376,231,36,4,284,70,360759597
760690116,CRE066_R,,CRE066,Traced,934,533,3,4,14,3,937265171
766959162,,,,Traced,760,53,10,1,461,3,117878921
798356481,PAM08_b(y4)_L,,PAM08_b,Traced,1248,244,497,119,5,1,337662143
798585556,PAM06_b(B'2m)_L,,PAM06_b,Traced,959,114,13,2,709,89,214518180
800622401,PAM13(B'1ap)_R,,PAM13,Traced,766,197,5,,169,69,280922115
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,4,1,13,4,135248805
829261936,PAM12(y3)_R,,PAM12,Traced,1336,229,388,131,7,1,440919426
830276571,PAM05(B'2p)_R,,PAM05,Traced,1135,314,9,3,257,107,425507826
862705904,PAM12(y3)_R,,PAM12,Traced,1178,193,197,74,2,1,402053568
864169621,(PVL05)_L,,,Traced,67,87,2,2,1,1,94584044
893149866,PAM12(y3)_L,,PAM12,Traced,966,216,366,128,8,1,258249835
895535909,(PVL05)_L,,,Traced,58,69,4,1,,1,89829282
912951014,MBON26(B'2d)(PDM28)_L,,MBON26,Traced,6395,1588,288,1,3100,29,2272675577
923415956,SMP165(AVM07)_L,,SMP165,Traced,1476,437,4,1,2,1,833177546
954528474,PAM08_c(y4)_L,,PAM08_c,Traced,1738,298,986,200,4,1,337379008
955464899,PAM12(y3)_R,,PAM12,Traced,1174,183,256,95,6,3,382633721
955591114,PAM14(B'1m)_L,,PAM14,Traced,362,178,1,,109,48,192486246
984453829,,,,Traced,659,689,3,3,12,1,584836699
984799284,CRE060_R,,CRE060,Traced,844,393,67,34,6,3,738647628
985131499,MBON22(calyx)(PVL06)_L,,MBON22,Traced,685,760,45,8,21,16,977135458
985813153,MBON21(y4y5)(PVL06)_L,,MBON21,Traced,10041,1229,8437,41,28,10,2278694286
985818067,,,,Traced,176,317,34,31,3,4,271365706
986828383,PAM13(B'1ap)_R,,PAM13,Traced,1117,228,4,3,196,75,389938087
987997896,PAM13(B'1ap)_L,,PAM13,Traced,735,199,108,28,216,70,294789403
1015484487,,,,Traced,623,710,3,,,1,523595977
1015622418,,,,Traced,809,407,761,369,15,13,235779801
1015825657,,,,Traced,168,299,5,3,4,2,271480057
1016166622,CRE067_R,,CRE067,Traced,1039,396,43,15,5,4,735317516
1016166928,,,,Traced,202,385,13,18,4,6,299158941
1016270635,,,,Traced,136,128,24,4,2,5,108829423
1016506999,LAL198_R,,LAL198,Traced,2427,780,39,,3,3,1609357758
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,13692,266,94,1,2083130629
1047210325,,,,Traced,258,404,39,22,3,1,324251843
1047887562,CRE068_R,,CRE068,Traced,594,325,31,11,1,9,562548941
1048004460,PAM09(B1ped)_L,,PAM09,Traced,743,225,5,,22,5,233922701
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,1407,485,172,24,4211579375
1048215779,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20255,1451,13331,335,84,6,2226046804
1078693835,MBON09(y3B'1)_R,,MBON09,Traced,23111,1297,47,1,5210,87,2791162363
1079682006,,,,Traced,117,68,56,8,12,6,72450554
1081086613,PAM12(y3)_L,,PAM12,Traced,656,141,218,74,4,3,283506292
1081767446,PAM05(B'2p)_L,,PAM05,Traced,547,239,1,,256,135,292571668
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,1,1,17,5,339562986
1109957857,PAM01_a(y5)_R,,PAM01_a,Traced,1749,157,264,37,1,1,437796532
1110298200,PAM02(B'2a)_R,,PAM02,Traced,1403,217,6,,331,60,326742368
1112125413,PAM07(y4<y1y2)_L,,PAM07,Traced,745,232,520,204,3,1,265742623
1131826900,FB4O_L,CRESMPFB4d,FB4O,Traced,1273,625,12,4,8,5,635401587
1139724263,,,,Traced,336,132,4,,329,131,102331977
1140655376,PAM02(B'2a)_R,,PAM02,Traced,1335,198,104,20,218,36,297452211
1141009503,PAM08_b(y4)_L,,PAM08_b,Traced,475,203,79,65,4,6,128056257
1141329227,PAM13(B'1ap)_R,,PAM13,Traced,964,211,1,,170,66,346624547
1141337557,PAM08_d(y4)_R,,PAM08_d,Traced,1707,334,89,19,138,52,427493806
1142490070,,,,Traced,417,174,408,168,6,3,98083419
1142490078,,,,Traced,393,177,20,10,369,163,127760963
1170400248,APL fragment?,,,Traced,2026,235,1,1,1453,183,293828523
1170404540,,,,Traced,429,186,10,4,418,181,125273798
1170404787,,,,Traced,378,186,22,16,356,170,118037991
1170404813,,,,Traced,326,167,11,6,315,161,104420946
1170404826,,,,Traced,382,181,7,4,375,177,114324068
1170404870,,,,Traced,372,174,6,5,366,169,112149184
1170404875,PAM05(B'2p)_R,,PAM05,Traced,682,237,3,4,167,95,319299901
1170404888,,,,Traced,366,178,3,2,361,174,109212718
1170409025,,,,Traced,401,202,1,,362,174,122832054
1170409037,,,,Traced,404,175,14,10,390,165,120814929
1170409055,,,,Traced,373,185,3,2,370,183,112041295
1170409088,,,,Traced,351,182,2,4,349,178,113685268
1170412847,,,,Traced,2034,249,7,,1828,230,280315243
