id,instance,notes,type,status,inputs (#post),outputs (#pre),EB #post,EB #pre,#voxels
295473813,SAF(FB9)_R,SlpAF,SAF,Traced,513,97,4,2,529070298
387023620,PEN_b(PB06b)_L4,PEN2,PEN_b(PEN2),Traced,1713,343,559,233,686693145
387364605,EPG(PB08)_L3,EPG,EPG,Traced,4350,645,3892,346,1469716322
416642425,EPG(PB08)_R4,EPG,EPG,Traced,3834,470,3482,244,1169220265
449438847,EPG(PB08)_L3,EPG,EPG,Traced,4595,609,4070,324,1356917252
478375456,EPG(PB08)_R3,EPG,EPG,Traced,4249,483,3960,270,1290806813
483245369,FB1G_L,SMPSIPFB1d3,FB1G,Traced,2144,1854,14,25,2238363747
508793049,PEN_a(PB06a)_L7,PEN1,PEN_a(PEN1),Traced,1607,587,814,451,809613851
509410587,PEN_a(PB06a)_R4,PEN1,PEN_a(PEN1),Traced,1556,428,636,294,801363719
513784136,FB1G_R,SMPSIPFB1d3,FB1G,Traced,4306,1843,13,25,2928723833
539462336,PEN_b(PB06b)_L4,PEN2,PEN_b(PEN2),Traced,1609,311,520,217,603871773
541118908,EPG(PB08)_R3,EPG,EPG,Traced,3796,523,3457,258,1092662993
541127846,ExR5(ring)_L,,ExR5,Traced,2793,1056,1686,433,1838016114
541870397,EPG(PB08)_L6,EPG,EPG,Traced,3916,498,3477,209,1262283600
569775058,PEN_b(PB06b)_R4,PEN2,PEN_b(PEN2),Traced,1582,336,595,239,777549043
570461892,PEN_a(PB06a)_R3,PEN1,PEN_a(PEN1),Traced,1915,565,958,465,980591420
572870540,EPG(PB08)_L1,,EPG,Traced,4957,615,4430,270,1495976797
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,24,5,1823088730
604791287,PLP128_R,,PLP128,Traced,1328,473,4,1,1909466744
632544268,EPG(PB08)_R2,EPG,EPG,Traced,3959,432,3671,224,1117114642
633546217,EPG(PB08)_R4,EPG,EPG,Traced,3200,413,2879,205,946141479
634608104,PEN_a(PB06a)_L2,PEN1,PEN_a(PEN1),Traced,2211,584,817,433,1013921359
634962055,EPG(PB08)_L4,EPG,EPG,Traced,3515,530,2988,227,1313237477
663190769,PEN_a(PB06a)_R6,PEN1,PEN_a(PEN1),Traced,1716,436,659,319,784365297
663562172,PEN_b(PB06b)_R4,PEN2,PEN_b(PEN2),Traced,1544,319,577,222,668330517
664645558,PEN_a(PB06a)_L6,PEN1,PEN_a(PEN1),Traced,1380,410,679,313,485288832
664650297,PEN_b(PB06b)_L6,PEN2,PEN_b(PEN2),Traced,1230,327,436,222,428103635
665314820,EPG(PB08)_L4,EPG,EPG,Traced,3576,546,3148,265,1249529709
667931999,FB2I_a_R,SMPATLFB2,FB2I_a,Traced,1560,679,1,1,1434351677
693755250,PEN_b(PB06b)_R7,PEN2,PEN_b(PEN2),Traced,1890,432,675,316,916318576
694920753,EPG(PB08)_R5,EPG,EPG,Traced,3441,455,3207,261,1192481040
695629525,EPG(PB08)_R2,EPG,EPG,Traced,4153,472,3837,250,1239801790
695956656,EPG(PB08)_R4,EPG,EPG,Traced,3738,464,3411,222,1139686992
696362840,EPG(PB08)_L5,EPG,EPG,Traced,3491,536,3043,236,1290354899
696682163,EL(EQ5)_L,EBGAs,EL,Traced,4835,1100,4534,1028,1281064545
697001770,EPG(PB08)_L2,EPG,EPG,Traced,4160,494,3659,234,1220895242
699031185,SIFa(PDM34),,SIFa,Traced,1080,777,19,5,5702733325
724280817,PEN_b(PB06b)_R2,PEN2,PEN_b(PEN2),Traced,1882,456,694,323,838679464
725942718,EL(EQ5)_R,EBGAs,EL,Traced,5071,927,5061,915,1343378417
725951521,EPG(PB08)_R5,EPG,EPG,Traced,3479,415,3189,218,1113260436
725951660,EL(EQ5)_R,EBGAs,EL,Traced,5025,1135,4884,1097,1322049874
726352774,PFGs(PB10)_L4_C4,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2343,553,1,1,1097656982
727350004,EL(EQ5)_L,EBGAs,EL,Traced,4545,943,4250,873,1178553443
757055317,PEN_a(PB06a)_L4,PEN1,PEN_a(PEN1),Traced,1538,415,597,315,719023584
758419409,EPG(PB08)_L3,EPG,EPG,Traced,4163,589,3801,317,1367317453
787762461,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1972,1113,1560,601,1165397767
788794171,EPG(PB08)_L6,EPG,EPG,Traced,3207,445,2857,195,871873631
789126240,EPG(PB08)_L5,,EPG,Traced,3024,479,2647,225,1177122514
819828986,EPG(PB08)_L5,EPG,EPG,Traced,3264,513,2847,218,1242575632
820144012,EL(EQ5)_L,EBGAs,EL,Traced,4718,975,4418,894,1326450645
847336755,PEN_a(PB06a)_R6,PEN1,PEN_a(PEN1),Traced,1567,412,670,314,782298170
848761388,PEG(PB07)_R1,PEG,PEG,Traced,895,89,180,87,521118259
849421763,PEN_b(PB06b)_R5,PEN2,PEN_b(PEN2),Traced,2453,482,806,334,989164827
849482511,PEN_a(PB06a)_L4,PEN1,PEN_a(PEN1),Traced,1591,438,650,353,737349791
858587718,ExR6(ring)_R,,ExR6,Traced,9255,2395,4203,1929,4204033525
879183317,PEN_b(PB06b)_L6,PEN2,PEN_b(PEN2),Traced,1223,330,425,214,600285827
880875861,PEG(PB07)_L5,PEG,PEG,Traced,1246,237,211,134,708615708
881898734,PEG(PB07)_L6,PEG,PEG,Traced,1094,236,257,112,720534350
910438331,EPG(PB08)_R6,EPG,EPG,Traced,3749,438,3481,273,1189689723
910447075,PEN_a(PB06a)_R5,PEN1,PEN_a(PEN1),Traced,1847,575,846,471,1015212407
912147912,PEG(PB07)_R6,PEG,PEG,Traced,1198,157,326,154,618134609
912545106,EPG(PB08)_L2,EPG,EPG,Traced,4273,564,3798,283,1279652378
912596952,EL(EQ5)_L,EBGAs,EL,Traced,4195,919,3850,812,1264795351
912601268,EPG(PB08)_L6,EPG,EPG,Traced,3433,459,3047,208,961831095
915605943,FB6P_R,SMPCREFB6_1,FB6P,Traced,1994,241,42,10,593506244
917647959,ExR1(ring)_L,,ExR1,Traced,10018,1583,6796,1406,3151242119
918334668,ExR1(ring)_L,,ExR1,Traced,9714,1379,7117,1212,2637843316
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,1235,1188,4148353890
941123755,PEN_b(PB06b)_R6,PEN2,PEN_b(PEN2),Traced,1592,330,548,253,658115021
941132434,EPG(PB08)_R6,EPG,EPG,Traced,3384,384,3158,222,1033944779
942173776,PEG(PB07)_R4,PEG,PEG,Traced,1155,148,278,146,661259565
942491983,EPG(PB08)_R6,EPG,EPG,Traced,3582,477,3256,262,1236585592
942587380,PEG(PB07)_L4,PEG,PEG,Traced,1528,253,296,136,737594409
948709216,ExR1(ring)_R,,ExR1,Traced,10008,1519,6369,1328,3591373150
949710555,ExR1(ring)_R,,ExR1,Traced,10306,1447,6309,1261,3339909507
972555509,PEG(PB07)_R2,PEG,PEG,Traced,1017,137,324,137,565541726
972892437,PEN_a(PB06a)_R2,PEN1,PEN_a(PEN1),Traced,1676,513,768,403,848941665
973566036,PEN_b(PB06b)_R3,PEN2,PEN_b(PEN2),Traced,2101,410,742,310,832431327
974239375,PEG(PB07)_R3,PEG,PEG,Traced,1441,144,295,140,654632835
974300015,PEG(PB07)_L3,PEG,PEG,Traced,1396,268,266,146,785035775
978733459,ExR5(ring)_L,,ExR5,Traced,2994,1148,1757,457,1935836510
1002507131,PEN_a(PB06a)_R7,PEN1,PEN_a(PEN1),Traced,1917,612,787,462,1065119131
1002507159,EPG(PB08)_R7,EPG,EPG,Traced,4220,545,3938,313,1316105284
1002848661,PEG(PB07)_R7,PEG,PEG,Traced,1004,139,259,133,574633074
1002852791,EPG(PB08)_R7,EPG,EPG,Traced,4112,504,3834,286,1209456657
1003249888,hDeltaK_07_C6a,EBFB34D5FB6,hDeltaK,Traced,886,269,72,1,658035288
1004014587,PEG(PB07)_L7,PEG,PEG,Traced,935,211,220,111,413950685
1004017998,EPG(PB08)_L7,EPG,EPG,Traced,3073,414,2733,187,965411401
1005308608,EL(EQ5)_L,EBGAs,EL,Traced,4381,729,4088,648,1157310567
1005710800,ExR7(ring)_L,,ExR7,Traced,2301,841,2088,416,1439854944
1008378448,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6301,1791,1109,298,2716937442
1009043211,hDeltaK_13_C11,EBFB34D5FB6,hDeltaK,Traced,1266,368,52,1,759629172
1034219901,EPG(PB08)_R7,EPG,EPG,Traced,4020,435,3813,256,1185019251
1034220115,EL(EQ5)_R,EBGAs,EL,Traced,4159,922,3903,849,1099839854
1035045015,EPG(PB08)_L7,EPG,EPG,Traced,4196,549,3804,252,1027118663
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,1217,1160,5331729469
1036753721,EL(EQ5)_L,EBGAs,EL,Traced,4431,918,4078,805,1219998811
1043825714,ExR5(ring)_R,,ExR5,Traced,3240,1086,1613,451,2079662476
1044918145,FS1A(FQ9)_C7_R,FB2-6SMPSMP,FS1A,Traced,1155,100,1,1,281089917
1062526223,PEN_b(PB06b)_R8,PEN2,PEN_b(PEN2),Traced,2195,470,773,335,994963622
1065409934,PEG(PB07)_L8,PEG,PEG,Traced,923,220,245,125,434380151
1065410141,EPG(PB08)_L8,EPG,EPG,Traced,3278,406,2937,188,836597415
1066088381,EL(EQ5)_L,EBGAs,EL,Traced,4269,850,3853,751,1067970589
1100792636,FB4Y(EB/NO1)_L,EBCREFB45,FB4Y,Traced,4658,1763,1255,374,1949749132
1105834722,ER2_c(ring)_R,,ER2_c,Traced,1508,520,1403,518,1078200690
1105882358,ExR7(ring)_R,,ExR7,Traced,3118,719,2917,406,1375874653
1106180107,ER2_a(ring)_R,,ER2_a,Traced,1422,464,1321,462,972418076
1125964630,PEN_a(PB06a)_R8,PEN1,PEN_a(PEN1),Traced,2100,598,885,461,1146383370
1125964814,EPG(PB08)_R8,EPG,EPG,Traced,3046,352,2842,184,991536233
1125969082,PEG(PB07)_R9,PEG,PEG,Traced,953,106,184,96,612853083
1126647624,EPG(PB08)_R8,EPG,EPG,Traced,2943,376,2696,204,1089813706
1127471692,PEN_a(PB06a)_L8,PEN1,PEN_a(PEN1),Traced,1819,576,853,430,866409069
1127476096,EPG(PB08)_L8,EPG,EPG,Traced,3300,455,3001,211,846890948
1128088594,PEG(PB07)_L1,PEG,PEG,Traced,1029,191,183,100,586585085
1136861363,ER2_c(ring)_R,,ER2_c,Traced,1524,457,1413,453,1057527061
1136865339,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1873,1129,1541,677,1198248632
1137210821,ER2_c(ring)_R,,ER2_c,Traced,1460,456,1355,455,985250752
1137219365,ER2_a(ring)_R,,ER2_a,Traced,1349,426,1239,416,972567243
1137288015,EL(EQ5)_L,EBGAs,EL,Traced,4987,858,4669,775,1233512438
1137590785,SIFa(PDM34),,SIFa,Traced,658,344,35,21,4308407118
1167295853,ER4d(ring)_L,,ER4d,Traced,1847,538,1835,524,736880426
1167295856,ER4d(ring)_L,,ER4d,Traced,1925,553,1874,546,814085663
1167295872,ER4d(ring)_L,,ER4d,Traced,2193,621,2184,606,786241461
1167295916,ER4d(ring)_R,,ER4d,Traced,2047,554,1909,530,1212692476
1167300055,ER4d(ring)_L,,ER4d,Traced,2037,613,2018,601,795222199
1167300154,ER4d(ring)_R,,ER4d,Traced,1978,530,1830,519,1055943440
1167300194,ER4d(ring)_R,,ER4d,Traced,2080,588,1946,568,1125394909
1167304403,ER4d(ring)_R,,ER4d,Traced,2039,552,1912,542,1166760517
1167563121,ER2_a(ring)_R,,ER2_a,Traced,1385,446,1284,445,943354421
1167567702,ER2_d(ring)_R,,ER2_d,Traced,1254,373,1103,371,876571829
1167632513,ER4d(ring)_R,,ER4d,Traced,2037,590,1899,575,1211989816
1167641412,ER4m(ring)_L,,ER4m,Traced,1506,909,1504,907,990124574
1167645442,ER4m(ring)_R,,ER4m,Traced,1675,915,1484,910,1876942269
1167645523,ER4d(ring)_L,,ER4d,Traced,1875,527,1866,517,773720688
1167645658,ER2_c(ring)_R,,ER2_c,Traced,1575,512,1417,510,1028415501
1167891559,ER4d(ring)_R,,ER4d,Traced,2129,613,1989,597,1292065740
1167895489,ER2_c(ring)_R,,ER2_c,Traced,1557,484,1437,482,1108231944
1167896065,ER2_c(ring)_R,,ER2_c,Traced,1449,480,1331,479,1142260345
1167904437,ER2_c(ring)_R,,ER2_c,Traced,1568,464,1442,461,1009871327
1167965225,EL(EQ5)_R,EBGAs,EL,Traced,4003,873,3985,857,1203007342
1167977970,ER4m(ring)_L,,ER4m,Traced,1689,920,1685,920,974811269
1167982211,ER4d(ring)_L,,ER4d,Traced,1615,487,1603,481,670334136
1167995070,EPG(PB08)_L8,EPG,EPG,Traced,3874,476,3475,234,960598574
1168055653,ER3w_b(ring)_L,,ER3w_b,Traced,904,302,804,299,438796749
1168059800,ER2_c(ring)_L,,ER2_c,Traced,1479,467,1398,465,609720127
1168064774,ER2_c(ring)_L,,ER2_c,Traced,1406,475,1326,471,671313309
1168241257,ER2_c(ring)_R,,ER2_c,Traced,1489,440,1369,438,984757343
1168249921,ER2_d(ring)_R,,ER2_d,Traced,1281,372,1170,368,857061165
1168340507,EL(EQ5)_L,EBGAs,EL,Traced,4541,813,4204,722,1175399808
1168392003,ER3w_b(ring)_L,,ER3w_b,Traced,917,292,823,286,459211674
1168392468,ER3w_b(ring)_L,,ER3w_b,Traced,909,306,850,299,441292208
1168659995,EPGt(PB09)_R9,EPGt,EPGt,Traced,611,154,182,10,585738930
1168660239,EPGt(PB09)_L9,EPGt,EPGt,Traced,583,157,120,9,369725815
1168664447,EPGt(PB09)_L9,EPGt,EPGt,Traced,610,167,122,11,390899085
1168664495,EPG(PB08)_L8,EPG,EPG,Traced,3858,468,3529,240,1000269781
1168923315,ER2_b(ring)_R,,ER2_b,Traced,1238,383,1139,378,841422242
1169260589,ER3a_c(ring)_R,,ER3a_c,Traced,954,253,739,239,581712518
1190171884,PEG(PB07)_L2,PEG,PEG,Traced,1304,225,310,134,718304874
1192152791,EL(EQ5)_R,EBGAs,EL,Traced,4261,825,4225,812,1162425268
1195606601,PFR_a(PB11a)_L5_C5,PFR_a,PFR_a,Traced,1159,385,2,2,454288161
1197993940,PEN_b(PB06b)_R6,PEN2,PEN_b(PEN2),Traced,1496,327,470,240,597758855
1198006801,ER4d(ring)_L,,ER4d,Traced,2051,623,2041,621,832982241
1198257581,ER2_a(ring)_R,,ER2_a,Traced,1326,440,1186,436,986089181
1198326456,ER4m(ring)_R,,ER4m,Traced,1691,915,1527,909,1682972323
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,1515,652,1472264855
1198330641,ExR4(ring)_L,,ExR4,Traced,4777,1314,4740,1304,1883677564
1198334861,ER2_a(ring)_L,,ER2_a,Traced,1303,443,1227,440,581385780
1198413357,ER2_c(ring)_L,,ER2_c,Traced,1323,463,1239,456,630315706
1198667367,ER2_c(ring)_L,,ER2_c,Traced,1497,512,1392,508,724395978
1198671494,ER4m(ring)_L,,ER4m,Traced,1557,866,1554,864,948247908
1198671672,ER2_c(ring)_L,,ER2_c,Traced,1470,471,1357,468,671245779
1198675740,ER2_c(ring)_L,,ER2_c,Traced,1276,421,1198,419,626796734
1198680122,ER2_a(ring)_L,,ER2_a,Traced,1400,463,1321,462,613049939
1198680249,ER2_a(ring)_L,,ER2_a,Traced,1334,452,1281,451,612229380
