id,instance,notes,type,status,inputs (#post),outputs (#pre),FB #post,FB #pre,#voxels
202916528,FS4C(FQ12)_C4_R,FB267SMP,FS4C,Traced,431,95,395,1,235674230
203253072,FS4A(AB)(FQ12)_C3_R,FB38ABSMP,FS4A,Traced,366,62,278,4,154283963
203594169,FS4A(AB)(FQ12)_C4_R,FB38ABSMP,FS4A,Traced,292,45,197,2,172242506
203594175,FS4A(AB)(FQ12)_C4_R,FB38ABSMP,FS4A,Traced,346,57,270,2,155423263
203598499,FB8H_L,SMPSLPFB8,FB8H,Traced,633,289,348,275,546402307
203598504,FS4A(FQ12)_C5_R,FB138SMP,FS4A,Traced,194,39,155,1,154070565
203598557,FS4B(FQ12)_C8_R,FB128SMP,FS4B,Traced,380,63,355,1,198634534
203931040,FS4A(AB)(FQ12)_C3_R,FB38ABSMP,FS4A,Traced,314,37,238,4,143907966
204613133,FB8E_L,SMPSIPFB8_1,FB8E,Traced,446,209,365,198,220786546
204962646,FB7L_L,SMPSIPFB7_4,FB7L,Traced,1283,439,904,439,750478326
205299889,FB8F_b_L,SIPSLPFB8,FB8F_b,Traced,280,90,162,46,209023331
234292899,FB7M_L,SMPSIPFB7_5,FB7M,Traced,923,187,673,167,347121784
235985275,FB8E_L,SMPSIPFB8_1,FB8E,Traced,474,233,431,228,245218113
236330337,FB7I_L,SMPSIPFB76,FB7I,Traced,1384,445,1247,425,542268118
236331138,FB7G_L,SMPFB78,FB7G,Traced,656,249,600,237,300680878
265120597,FB1D_R,SLPFB1d,FB1D,Traced,1129,370,378,359,1147540578
265120677,FB8A_R,SLPSMPFB8_1,FB8A,Traced,801,266,348,262,761202336
265655867,FB8F_b_L,SIPSLPFB8,FB8F_b,Traced,239,68,137,22,158465467
266536576,FB7G_R,SMPFB78,FB7G,Traced,932,323,696,296,628909468
294791509,FB1D_R,SLPFB1d,FB1D,Traced,1009,373,311,332,1129554706
294800293,FB7K_R,SLPSIPFB7,FB7K,Traced,1007,300,525,288,896147324
295116205,SA1_a_R,SlpA,SA1_a,Traced,644,107,9,2,267661950
295133452,FB9A_R,SLPFB9_1,FB9A,Traced,442,80,216,68,305039727
295136778,FB8A_R,SLPSMPFB8_1,FB8A,Traced,667,308,269,304,957819355
295136965,FB1E_b_R,SLPSIPFB1d,FB1E_b,Traced,881,334,397,322,916015639
295141618,FB9C_b_R,SLPFB9_2,FB9C_b,Traced,309,81,144,48,349713399
295473813,SAF(FB9)_R,SlpAF,SAF,Traced,513,97,209,60,529070298
295474441,SA3_bilateral_R,SlpA,SA3,Traced,436,106,35,20,261798729
295474876,SA1_b_R,SlpA,SA1_b,Traced,442,94,10,6,181687369
295477903,FB7M_R,SMPSIPFB7_5,FB7M,Traced,1245,213,652,171,564592517
295490863,FS4B(FQ12)_C8_L,FB128SMP,FS4B,Traced,243,84,191,1,199874593
295815897,FB9B_e_R,SLPFB9_2,FB9B_e,Traced,113,48,51,38,211366105
295819960,SA1_a_R,SlpA,SA1_a,Traced,532,93,11,3,262333397
295820069,FB8H_R,SMPSLPFB8,FB8H,Traced,739,367,318,360,1327884259
295820085,FB8E_R,SMPSIPFB8_1,FB8E,Traced,899,292,640,269,561103366
295823782,FS4B(FQ12)_C6_L,FB128SMP,FS4B,Traced,167,62,102,1,168727357
295827899,FS4B(FQ12)_C2_L,FB128SMP,FS4B,Traced,386,82,336,2,199438143
296143798,FB9A_R,SLPFB9_1,FB9A,Traced,357,66,189,54,325356730
296155122,FB8F_b_R,SIPSLPFB8,FB8F_b,Traced,780,158,150,40,438655704
296160764,FB8E_R,SMPSIPFB8_1,FB8E,Traced,708,230,409,187,421941686
296497316,SAF(FB9)_R,SlpAF,SAF,Traced,657,131,371,107,378275835
296514350,FB1B_R,SMPSLPFB1d,FB1B,Traced,1441,299,561,289,651798287
296531421,FS4C(FQ12)_C9_L,FB267SMP,FS4C,Traced,368,98,318,4,219153931
296690817,FS4A(FQ12)_C6_R,FB138SMP,FS4A,Traced,226,50,183,3,164710886
296838079,FB8I_R,SMPSIPFB8_3,FB8I,Traced,1144,197,389,147,631433522
296851261,FB8G_R,SMPSIPFB8_2,FB8G,Traced,1243,330,813,284,667890226
296855409,FB8I_R,SMPSIPFB8_3,FB8I,Traced,1049,173,403,136,593469898
296867934,FS4A(AB)(FQ12)_C8_L,FB38ABSMP,FS4A,Traced,211,60,131,2,110680239
296872298,FS4A(FQ12)_C7_L,FB138SMP,FS4A,Traced,234,55,171,10,105692215
296872415,FS4A(FQ12)_C7_L,FB138SMP,FS4A,Traced,218,51,176,3,132447807
296880800,FB8E_R,SMPSIPFB8_1,FB8E,Traced,550,202,382,189,375617837
297166053,FB8F_b_R,SIPSLPFB8,FB8F_b,Traced,736,156,198,57,444034044
297178509,FB8F_a_R,SIPSLPFB8,FB8F_a,Traced,834,171,212,48,559080194
297183251,FB7A_R,SIPSLPFB7,FB7A,Traced,1318,911,675,798,2025763268
297519807,FB8F_b_R,SIPSLPFB8,FB8F_b,Traced,676,135,134,35,362992735
297908595,FB5G_R,SMPSIPFB56,FB5G,Traced,878,216,396,188,543103382
298055752,FB8F_b_L,SIPSLPFB8,FB8F_b,Traced,373,127,222,76,234920337
298405402,FB6T_L,SIPSMPFB6_7,FB6T,Traced,480,184,214,103,363877608
298927224,FB7F_R,SMPSIPFB7_3,FB7F,Traced,745,191,136,43,566557379
298944444,FB6U_R,SMPCREFB6_2,FB6U,Traced,2676,537,1789,438,1019062305
299078990,FB7F_L,SMPSIPFB7_3,FB7F,Traced,397,119,201,49,276151942
300455904,FB8F_a_L,SIPSLPFB8,FB8F_a,Traced,356,125,278,69,277198855
325489440,FB8D_R,SLPSMPFB8_2,FB8D,Traced,1009,155,500,119,473500434
326521082,FS4C(FQ12)_C7_L,FB267SMP,FS4C,Traced,453,79,385,2,155749285
326525255,FS4B(FQ12)_C8_L,FB128SMP,FS4B,Traced,241,71,200,2,178547026
326525339,FS4B(FQ12)_C3_L,FB128SMP,FS4B,Traced,481,81,434,1,213645314
326849964,FB9B_c_R,SLPFB9_2,FB9B_c,Traced,112,33,43,32,158858417
326870795,FB9B_e_R,SLPFB9_2,FB9B_e,Traced,150,41,28,35,174864864
326875404,FS4A(FQ12)_C8_L,FB138SMP,FS4A,Traced,270,71,220,8,155197060
326884203,FS4A(FQ12)_C5_L,FB138SMP,FS4A,Traced,127,38,76,1,134428348
326884264,FS4A(FQ12)_C8_L,FB138SMP,FS4A,Traced,333,61,310,12,116821517
327203386,FB7A_R,SIPSLPFB7,FB7A,Traced,1334,633,493,529,1583872629
327225145,FS4A(AB)(FQ12)_C2_L,FB38ABSMP,FS4A,Traced,497,56,353,2,172629969
327398074,SA3_bilateral_L,SlpA,SA3,Traced,214,101,24,12,153740384
327565511,FS4A(FQ12)_C8_L,FB138SMP,FS4A,Traced,184,55,139,3,149555904
327566137,FS4A(FQ12)_C4_L,FB138SMP,FS4A,Traced,246,53,211,7,168727304
327730878,FB6Z_L,SMPSIPFB6_9,FB6Z,Traced,1285,465,857,439,907132017
328213227,FB8F_a_R,SIPSLPFB8,FB8F_a,Traced,911,184,247,60,614822175
328744210,FB5G_L,SMPSIPFB56,FB5G,Traced,530,190,371,155,272031975
328930845,FB8F_a_R,SIPSLPFB8,FB8F_a,Traced,886,183,146,43,565728429
329102850,FB8F_a_L,SIPSLPFB8,FB8F_a,Traced,298,111,184,55,387188309
329289084,FB6G_R,SIPSMPFB6_3,FB6G,Traced,1808,868,1079,802,1571979600
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,3576,2111,6917059458
329638509,FB7E_R,SMPSIPFB7_2,FB7E,Traced,1155,232,569,197,687887292
329772284,FB6S_L,SIPSMPFB6_6,FB6S,Traced,358,115,167,43,390515446
329983926,FB5G_R,SMPSIPFB56,FB5G,Traced,1575,434,667,370,805024154
330661573,FB6S_R,SIPSMPFB6_6,FB6S,Traced,891,175,149,41,502917991
355651857,FR2(FQ4)_C3_L_small,,FR2,Traced,697,104,665,1,279405605
357569116,FS4B(AB)(FQ12)_C2_L,FB128SMP,FS4B,Traced,279,43,151,1,157877218
357569231,FS4A(AB)(FQ12)_C9_L,FB38ABSMP,FS4A,Traced,137,67,68,3,103421632
357569240,FS4A(FQ12)_C6_L,FB138SMP,FS4A,Traced,311,58,268,7,159187654
357573309,FS4B(FQ12)_C9_L,FB128SMP,FS4B,Traced,128,76,90,2,141680955
357909813,FS4A(FQ12)_C9_L,FB138SMP,FS4A,Traced,167,64,141,7,110751207
357919199,FS4B(FQ12)_C5_L,FB128SMP,FS4B,Traced,170,76,114,1,180496656
358251878,FB1B_R,SMPSLPFB1d,FB1B,Traced,734,212,284,173,600012971
358259842,FB8G_R,SMPSIPFB8_2,FB8G,Traced,1295,363,958,327,719388102
358424052,FB8G_L,SMPSIPFB8_2,FB8G,Traced,1017,339,851,311,476808869
359637824,FB6T_R,SIPSMPFB6_7,FB6T,Traced,1270,209,295,112,622937090
360319323,FB6Q_R,SIPSMPFB6_5,FB6Q,Traced,1179,205,402,138,588575291
360466268,FB8F_a_L,SIPSLPFB8,FB8F_a,Traced,312,110,217,56,257669635
361364000,FB7E_R,SMPSIPFB7_2,FB7E,Traced,1456,283,598,253,727838153
362507326,FB6M_L,WEDLALFB6,FB6M,Traced,733,306,615,220,832418315
362715189,FB5H_R,CRESMPFB5_3,FB5H,Traced,4614,1443,2244,1256,1961593731
386280932,FC2B(FQ7)_C7_R,FB1d356CRE,FC2B,Traced,2270,200,2225,147,451954908
387023620,PEN_b(PB06b)_L4,PEN2,PEN_b(PEN2),Traced,1713,343,3,2,686693145
387364605,EPG(PB08)_L3,EPG,EPG,Traced,4350,645,26,1,1469716322
388012215,hDeltaD_08_C5,FB18D3FB8,hDeltaD,Traced,2365,369,2357,368,991260560
388246273,SAF(FB9)_R,SlpAF,SAF,Traced,319,64,90,32,255147243
388608485,FS4A(FQ12)_C5_L,FB138SMP,FS4A,Traced,139,46,112,4,137111132
388612388,FS4A(FQ12)_C5_L,FB138SMP,FS4A,Traced,204,59,169,8,155313501
390667603,FB1A_R,SMPSIPFB13,FB1A,Traced,953,268,366,264,580454806
391155063,FB2G_b_L,SIPLALFB2,FB2G_b,Traced,795,397,552,393,699767169
391155165,FB7G_L,SMPFB78,FB7G,Traced,981,375,907,357,416497322
393215048,FB6Q_L,SIPSMPFB6_5,FB6Q,Traced,804,212,499,170,479344669
393888286,FB6S_L,SIPSMPFB6_6,FB6S,Traced,316,82,156,36,274228167
416642425,EPG(PB08)_R4,EPG,EPG,Traced,3834,470,24,1,1169220265
417998204,PFNv(PB05)_R4_C7,PFNv,PFNv,Traced,999,229,66,78,476702093
419060083,PFGs(PB10)_L2_C2,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2395,556,2128,512,1107227318
419639583,FS4C(FQ12)_C3_L,FB267SMP,FS4C,Traced,598,88,567,1,253463740
420842989,FB7K_L,SLPSIPFB7,FB7K,Traced,522,283,474,280,535538909
421184151,FB1E_a_L,SIPSMPFB1d,FB1E_a,Traced,518,310,415,302,515761049
