id,instance,notes,type,status,inputs (#post),outputs (#pre),NO #post,NO #pre,EB #post,EB #pre,#voxels
387023620,PEN_b(PB06b)_L4,PEN2,PEN_b(PEN2),Traced,1713,343,365,105,559,233,686693145
508793049,PEN_a(PB06a)_L7,PEN1,PEN_a(PEN1),Traced,1607,587,505,130,814,451,809613851
509410587,PEN_a(PB06a)_R4,PEN1,PEN_a(PEN1),Traced,1556,428,474,133,636,294,801363719
519046655,FB1H(NO2/3)_L,CRENO23FB1-4,FB1H,Traced,7950,3818,809,341,,1,3103732460
539462336,PEN_b(PB06b)_L4,PEN2,PEN_b(PEN2),Traced,1609,311,388,89,520,217,603871773
569775058,PEN_b(PB06b)_R4,PEN2,PEN_b(PEN2),Traced,1582,336,358,92,595,239,777549043
570461892,PEN_a(PB06a)_R3,PEN1,PEN_a(PEN1),Traced,1915,565,330,98,958,465,980591420
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,403,177,24,5,1823088730
634608104,PEN_a(PB06a)_L2,PEN1,PEN_a(PEN1),Traced,2211,584,747,151,817,433,1013921359
663190769,PEN_a(PB06a)_R6,PEN1,PEN_a(PEN1),Traced,1716,436,488,115,659,319,784365297
663562172,PEN_b(PB06b)_R4,PEN2,PEN_b(PEN2),Traced,1544,319,336,91,577,222,668330517
664645558,PEN_a(PB06a)_L6,PEN1,PEN_a(PEN1),Traced,1380,410,432,90,679,313,485288832
664650297,PEN_b(PB06b)_L6,PEN2,PEN_b(PEN2),Traced,1230,327,375,93,436,222,428103635
693755250,PEN_b(PB06b)_R7,PEN2,PEN_b(PEN2),Traced,1890,432,386,88,675,316,916318576
724280817,PEN_b(PB06b)_R2,PEN2,PEN_b(PEN2),Traced,1882,456,428,127,694,323,838679464
757055317,PEN_a(PB06a)_L4,PEN1,PEN_a(PEN1),Traced,1538,415,355,97,597,315,719023584
847336755,PEN_a(PB06a)_R6,PEN1,PEN_a(PEN1),Traced,1567,412,390,98,670,314,782298170
849421763,PEN_b(PB06b)_R5,PEN2,PEN_b(PEN2),Traced,2453,482,575,142,806,334,989164827
849482511,PEN_a(PB06a)_L4,PEN1,PEN_a(PEN1),Traced,1591,438,368,84,650,353,737349791
879183317,PEN_b(PB06b)_L6,PEN2,PEN_b(PEN2),Traced,1223,330,406,102,425,214,600285827
910447075,PEN_a(PB06a)_R5,PEN1,PEN_a(PEN1),Traced,1847,575,462,103,846,471,1015212407
941123755,PEN_b(PB06b)_R6,PEN2,PEN_b(PEN2),Traced,1592,330,252,77,548,253,658115021
